shot,fetched
11766,true
11767,true
11768,true
11769,true
11771,true
11772,true
11773,true
11774,true
11775,true
11776,true
11777,true
11779,true
11780,true
11789,true
11790,true
11791,true
11794,true
11795,true
11796,true
11797,true
11798,true
11799,true
11802,true
11804,true
11805,true
11806,true
11807,true
11808,true
11809,true
11810,true
11811,true
11812,true
11815,true
11816,true
11817,true
11818,true
11819,true
11820,true
11821,true
11822,true
11823,true
11824,true
11825,true
11826,true
11827,true
11829,true
11830,true
11831,true
11833,true
11834,true
11835,true
11836,true
11837,true
11838,true
11840,true
11841,true
11847,true
11848,true
11849,true
11850,true
11851,true
11852,true
11855,true
11856,true
11857,true
11859,true
11860,true
11862,true
11866,true
11867,true
11868,true
11870,true
11871,true
11872,true
11873,true
11874,true
11876,true
11878,true
11879,true
11880,true
11889,true
11890,true
11891,true
11892,true
11893,true
11894,true
11895,true
11896,true
11897,true
11898,true
11899,true
11901,true
11902,true
11903,true
11905,true
11906,true
11908,true
11911,true
11912,true
11913,true
11914,true
11915,true
11916,true
11917,true
11918,true
11919,true
11920,true
11921,true
11922,true
11923,true
11924,true
11925,true
11926,true
11927,true
11930,true
11931,true
11932,true
11933,true
11934,true
11935,true
11936,true
11937,true
11938,true
11939,true
11940,true
11941,true
11942,true
11943,true
11944,true
11945,true
11946,true
11948,true
11949,true
11950,true
11951,true
11952,true
11953,true
11954,true
11955,true
11956,true
11957,true
11958,true
11993,true
11996,true
11998,true
12001,true
12003,true
12004,true
12006,true
12007,true
12008,true
12009,true
12010,true
12012,true
12013,true
12014,true
12016,true
12017,true
12018,true
12022,true
12023,true
12024,true
12025,true
12027,true
12028,true
12029,true
12030,true
12031,true
12032,true
12033,true
12034,true
12035,true
12036,true
12037,true
12038,true
12039,true
12046,true
12053,true
12055,true
12056,true
12058,true
12063,true
12065,true
12069,true
12075,true
12076,true
12077,true
12079,true
12080,true
12081,true
12082,true
12083,true
12085,true
12087,true
12088,true
12089,true
12090,true
12091,true
12092,true
12093,true
12094,true
12097,true
12098,true
12100,true
12101,true
12102,true
12106,true
12107,true
12108,true
12109,true
12110,true
12111,true
12112,true
12113,true
12114,true
12115,true
12116,true
12117,true
12118,true
12120,true
12121,true
12122,true
12123,true
12125,true
12126,true
12127,true
12128,true
12129,true
12130,true
12139,true
12140,true
12141,true
12142,true
12143,true
12144,true
12145,true
12146,true
12147,true
12148,true
12150,true
12151,true
12152,true
12153,true
12154,true
12158,true
12161,true
12162,true
12163,true
12164,true
12165,true
12166,true
12167,true
12168,true
12169,true
12170,true
12171,true
12172,true
12173,true
12174,true
12175,true
12177,true
12178,true
12179,true
12180,true
12181,true
12182,true
12183,true
12184,true
12185,true
12189,true
12190,true
12191,true
12192,true
12193,true
12194,true
12195,true
12196,true
12198,true
12199,true
12200,true
12201,true
12202,true
12203,true
12204,true
12208,true
12209,true
12210,true
12213,true
12214,true
12215,true
12216,true
12218,true
12219,true
12220,true
12221,true
12223,true
12224,true
12228,true
12229,true
12230,true
12231,true
12232,true
12233,true
12234,true
12235,true
12236,true
12237,true
12241,true
12242,true
12243,true
12244,true
12245,true
12246,true
12247,true
12248,true
12250,true
12252,true
12253,true
12254,true
12255,true
12256,true
12257,true
12258,true
12259,true
12260,true
12261,true
12262,true
12263,true
12264,true
12266,true
12267,true
12268,true
12269,true
12270,true
12272,true
12275,true
12278,true
12279,true
12280,true
12281,true
12283,true
12285,true
12287,true
12288,true
12289,true
12291,true
12294,true
12299,true
12300,true
12301,true
12302,true
12303,true
12304,true
12305,true
12306,true
12309,true
12311,true
12312,true
12313,true
12314,true
12315,true
12316,true
12317,true
12318,true
12320,true
12321,true
12322,true
12323,true
12324,true
12325,true
12326,true
12327,true
12328,true
12329,true
12330,true
12331,true
12336,true
12354,true
12355,true
12356,true
12357,true
12358,true
12359,true
12360,true
12361,true
12362,true
12363,true
12364,true
12365,true
12366,true
12368,true
12369,true
12370,true
12371,true
12372,true
12373,true
12376,true
12378,true
12379,true
12382,true
12384,true
12385,true
12386,true
12387,true
12388,true
12390,true
12391,true
12392,true
12393,true
12397,true
12398,true
12399,true
12400,true
12401,true
12403,true
12404,true
12406,true
12407,true
12408,true
12409,true
12410,true
12411,true
12412,true
12413,true
12414,true
12415,true
12416,true
12417,true
12418,true
12421,true
12422,true
12426,true
12427,true
12428,true
12429,true
12430,true
12431,true
12432,true
12433,true
12434,true
12435,true
12436,true
12437,true
12438,true
12439,true
12440,true
12441,true
12442,true
12444,true
12445,true
12446,true
12447,true
12448,true
12449,true
12450,true
12451,true
12455,true
12456,true
12457,true
12458,true
12460,true
12461,true
12462,true
12463,true
12465,true
12466,true
12467,true
12468,true
12469,true
12470,true
